エンジェル出版,46冊
コアマガジン/メガストアコミックス,52冊
茜新社,9冊
日経BP,4冊
グループ・ゼロ,7冊
ビーグリー,1冊
手塚プロダクション,9冊
株式会社オトコノアジト,1冊
BCCKS Distribution,1冊
スクリーモ,1冊
スクウェア・エニックス,71冊
KADOKAWA / 富士見書房,3冊
ユナイテッド・ブックス,1冊
カゲキヤ出版,8冊
大洋図書,2冊
クロエ出版/大洋図書,4冊
VIZ Media: SHONEN JUMP,1冊
青林堂ビジュアル,1冊
双葉社,212冊
扶桑社,4冊
三和出版,16冊
CCCメディアハウス,1冊
日本文芸社,87冊
らいとすたっふ,1冊
ソルマーレ編集部,5冊
かんき出版,2冊
株式会社メディアソフト,1冊
小池書院,1冊
かんき出版,2冊
株式会社ディケイド,3冊
東村ジャパン,5冊
-------,12冊
ブリック出版,1冊
若生出版,16冊
小学館クリエイティブ,1冊
日経ナショナル ジオグラフィック社,1冊
キリブックス,5冊
秋水社ORIGINAL,1冊
スクリーモ,1冊
ナンネット,3冊
ゴマブックス株式会社,7冊
青林堂ビジュアル,1冊
学研プラス,12冊
らいとすたっふ,1冊
キルタイムコミュニケーション,3冊
白泉社,116冊
まみあな出版,1冊
講談社,1024冊
ワニブックス,5冊
"フクモトプロ／highstone, Inc.",20冊
ワニマガジン社,151冊
MTEX,1冊
復刊ドットコム,2冊
Oxford University Press,2冊
ヒーローズ,25冊
サークルチェンジ,3冊
マガジン・マガジン,5冊
クロエ出版/大洋図書,4冊
コアマガジン/ホットミルクコミックス,4冊
カゲキヤ出版,8冊
MAX／大洋図書,4冊
コアマガジン/メガストアコミックス,52冊
秋田書店,395冊
朝日新聞出版,7冊
ＴＭＥプラス,2冊
たかだ書房,1冊
実業之日本社,10冊
青林堂,1冊
forcs,1冊
KADOKAWA / アスキー・メディアワークス,2冊
マイクロマガジン社,2冊
光文社,1冊
鉄人社,8冊
ぶんか社,7冊
すばる舎,2冊
ジーオーティー,15冊
コミックハウス,8冊
パンローリング株式会社,1冊
株式会社メディアソフト,1冊
NHK出版,1冊
日経BP,4冊
メディアックス,1冊
日経BP社,3冊
大洋図書,2冊
文響社,1冊
新潮社,80冊
技術評論社,2冊
MAX/大洋図書,1冊
アース・スター エンターテイメント,5冊
PHP研究所,1冊
ISSUISHA,2冊
ピンクパイナップル,1冊
グループ・ゼロ,7冊
文苑堂,2冊
WINGSプロジェクト,1冊
TOブックス,13冊
楽楽出版,5冊
富士美出版株式会社,13冊
VIZ Media: SHONEN JUMP,1冊
サン出版,7冊
オークス,1冊
茜新社,9冊
手塚プロダクション,9冊
リイド社,29冊
アイロゴス,1冊
幻冬舎,5冊
三才ブックス,2冊
,9冊
日本文芸社,87冊
KADOKAWA,356冊
フレックスコミックス,1冊
Kongc Test Pub,1冊
双葉社,212冊
スクウェア・エニックス,71冊
株式会社オトコノアジト,1冊
海王社,4冊
ナンバーナイン,1冊
佐藤漫画製作所,17冊
英治出版,1冊
