リイド社,29冊
サークルチェンジ,3冊
キルタイムコミュニケーション,3冊
青林堂ビジュアル,1冊
,9冊
たかだ書房,1冊
富士美出版株式会社,13冊
鉄人社,8冊
双葉社,212冊
DeNA,2冊
まみあな出版,1冊
クリエイティブエンタテインメント,1冊
コアマガジン/ホットミルクコミックス,4冊
三才ブックス,2冊
エンジェル出版,46冊
グループ・ゼロ,7冊
ゴマブックス株式会社,7冊
小池書院,1冊
技術評論社,2冊
秋田書店,395冊
茜新社,9冊
MAX/大洋図書,1冊
学研プラス,12冊
日経ナショナル ジオグラフィック社,1冊
光文社,1冊
クリーク・アンド・リバー社,2冊
講談社,1024冊
オークス,1冊
ナンネット,3冊
扶桑社,4冊
ISSUISHA,2冊
コアミックス,11冊
NHK出版,1冊
MAX／大洋図書,4冊
楽楽出版,5冊
株式会社オトコノアジト,1冊
集英社,882冊
白泉社,116冊
KADOKAWA / エンターブレイン,1冊
Kongc Test Pub,1冊
"フクモトプロ／highstone, Inc.",20冊
HIMEクリピンク,4冊
青林堂,1冊
MTEX,1冊
ＴＭＥプラス,2冊
マイクロマガジン社,2冊
一迅社,15冊
かんき出版,2冊
BCCKS Distribution,1冊
松文館,6冊
SCC,1冊
らいとすたっふ,1冊
メディアックス,1冊
KADOKAWA / 富士見書房,3冊
forcs,1冊
激ちゅぱっ,1冊
株式会社ディケイド,3冊
KADOKAWA,356冊
ヒーローズ,25冊
エブリスタ,3冊
フランス書院,1冊
海王社,4冊
竹書房,124冊
サン出版,7冊
WINGSプロジェクト,1冊
ジーオーティー,15冊
小学館クリエイティブ,1冊
角川アスキー総合研究所,2冊
マッグガーデン,30冊
手塚プロダクション,9冊
幻冬舎,5冊
秋水社ORIGINAL,1冊
Oxford University Press,2冊
電書バト,2冊
若生出版,16冊
少年画報社,36冊
フューチャーコミックス,5冊
アイロゴス,1冊
KATTS,3冊
ユナイテッド・ブックス,1冊
-------,12冊
TOブックス,13冊
新潮社,80冊
キリブックス,5冊
文響社,1冊
パンローリング株式会社,1冊
インプレス,2冊
復刊ドットコム,2冊
ブリック出版,1冊
スクウェア・エニックス,71冊
実業之日本社,10冊
CCCメディアハウス,1冊
すばる舎,2冊
ワニマガジン社,151冊
VIZ Media: SHONEN JUMP,1冊
健康マネジメント,1冊
小学館,489冊
早川書房,1冊
芳文社,91冊
翔泳社,9冊
太田出版,19冊
ジーウォーク,10冊
日本文芸社,87冊
フレックスコミックス,1冊
佐藤漫画製作所,17冊
アース・スター エンターテイメント,5冊
ビーグリー,1冊
文苑堂,2冊
日経BP社,3冊
KADOKAWA / 角川書店,3冊
コアマガジン/メガストアコミックス,52冊
クロエ出版/大洋図書,4冊
幻冬舎コミックス,25冊
ぶんか社,7冊
プレジデント社,1冊
ピンクパイナップル,1冊
大洋図書,2冊
スクリーモ,1冊
朝日新聞出版,7冊
東村ジャパン,5冊
東洋経済新報社,2冊
ソルマーレ編集部,5冊
日経BP,4冊
ナンバーナイン,1冊
英治出版,1冊
PHP研究所,1冊
イースト・プレス,6冊
株式会社メディアソフト,1冊
KADOKAWA / アスキー・メディアワークス,2冊
ワニブックス,5冊
三和出版,16冊
カゲキヤ出版,8冊
マガジン・マガジン,5冊
eternal,2冊
コミックハウス,8冊
ISSUISHA,2冊
三和出版,16冊
大洋図書,2冊
NHK出版,1冊
翔泳社,9冊
朝日新聞出版,7冊
一迅社,15冊
光文社,1冊
KADOKAWA / エンターブレイン,1冊
スクウェア・エニックス,71冊
DeNA,2冊
手塚プロダクション,9冊
株式会社オトコノアジト,1冊
秋水社ORIGINAL,1冊
小学館,489冊
楽楽出版,5冊
少年画報社,36冊
日経ナショナル ジオグラフィック社,1冊
ジーウォーク,10冊
メディアックス,1冊
太田出版,19冊
富士美出版株式会社,13冊
らいとすたっふ,1冊
実業之日本社,10冊
forcs,1冊
MTEX,1冊
スクリーモ,1冊
ナンバーナイン,1冊
クリエイティブエンタテインメント,1冊
角川アスキー総合研究所,2冊
-------,12冊
ブリック出版,1冊
KADOKAWA / 富士見書房,3冊
日経BP社,3冊
KATTS,3冊
ピンクパイナップル,1冊
ワニマガジン社,151冊
新潮社,80冊
アイロゴス,1冊
KADOKAWA / 角川書店,3冊
コアマガジン/メガストアコミックス,52冊
学研プラス,12冊
扶桑社,4冊
BCCKS Distribution,1冊
激ちゅぱっ,1冊
青林堂ビジュアル,1冊
秋田書店,395冊
コアミックス,11冊
マイクロマガジン社,2冊
佐藤漫画製作所,17冊
英治出版,1冊
"フクモトプロ／highstone, Inc.",20冊
グループ・ゼロ,7冊
かんき出版,2冊
ビーグリー,1冊
ワニブックス,5冊
プレジデント社,1冊
白泉社,116冊
すばる舎,2冊
若生出版,16冊
フランス書院,1冊
文苑堂,2冊
HIMEクリピンク,4冊
幻冬舎,5冊
カゲキヤ出版,8冊
インプレス,2冊
復刊ドットコム,2冊
青林堂,1冊
松文館,6冊
TOブックス,13冊
ぶんか社,7冊
株式会社メディアソフト,1冊
マッグガーデン,30冊
ジーオーティー,15冊
幻冬舎コミックス,25冊
Oxford University Press,2冊
Kongc Test Pub,1冊
講談社,1024冊
芳文社,91冊
VIZ Media: SHONEN JUMP,1冊
電書バト,2冊
まみあな出版,1冊
東洋経済新報社,2冊
竹書房,124冊
健康マネジメント,1冊
エブリスタ,3冊
MAX／大洋図書,4冊
海王社,4冊
エンジェル出版,46冊
双葉社,212冊
たかだ書房,1冊
日経BP,4冊
WINGSプロジェクト,1冊
フューチャーコミックス,5冊
小学館クリエイティブ,1冊
三才ブックス,2冊
ユナイテッド・ブックス,1冊
,9冊
文響社,1冊
クロエ出版/大洋図書,4冊
株式会社ディケイド,3冊
ＴＭＥプラス,2冊
フレックスコミックス,1冊
サン出版,7冊
アース・スター エンターテイメント,5冊
ナンネット,3冊
マガジン・マガジン,5冊
技術評論社,2冊
SCC,1冊
コミックハウス,8冊
ソルマーレ編集部,5冊
コアマガジン/ホットミルクコミックス,4冊
ヒーローズ,25冊
早川書房,1冊
サークルチェンジ,3冊
鉄人社,8冊
キルタイムコミュニケーション,3冊
CCCメディアハウス,1冊
オークス,1冊
KADOKAWA,356冊
キリブックス,5冊
KADOKAWA / アスキー・メディアワークス,2冊
小池書院,1冊
東村ジャパン,5冊
集英社,882冊
日本文芸社,87冊
リイド社,29冊
MAX/大洋図書,1冊
クリーク・アンド・リバー社,2冊
eternal,2冊
茜新社,9冊
PHP研究所,1冊
イースト・プレス,6冊
ゴマブックス株式会社,7冊
パンローリング株式会社,1冊
文響社,1冊
太田出版,19冊
イースト・プレス,6冊
HIMEクリピンク,4冊
幻冬舎,5冊
小池書院,1冊
スクリーモ,1冊
-------,12冊
フレックスコミックス,1冊
実業之日本社,10冊
Kongc Test Pub,1冊
リイド社,29冊
VIZ Media: SHONEN JUMP,1冊
早川書房,1冊
日経ナショナル ジオグラフィック社,1冊
サークルチェンジ,3冊
ナンネット,3冊
竹書房,124冊
秋田書店,395冊
ワニマガジン社,151冊
双葉社,212冊
KADOKAWA / エンターブレイン,1冊
激ちゅぱっ,1冊
若生出版,16冊
かんき出版,2冊
三才ブックス,2冊
NHK出版,1冊
東村ジャパン,5冊
ワニブックス,5冊
らいとすたっふ,1冊
エンジェル出版,46冊
コアマガジン/メガストアコミックス,52冊
SCC,1冊
株式会社ディケイド,3冊
少年画報社,36冊
まみあな出版,1冊
ぶんか社,7冊
プレジデント社,1冊
青林堂ビジュアル,1冊
KADOKAWA,356冊
佐藤漫画製作所,17冊
日経BP,4冊
アイロゴス,1冊
ソルマーレ編集部,5冊
インプレス,2冊
復刊ドットコム,2冊
アース・スター エンターテイメント,5冊
講談社,1024冊
TOブックス,13冊
ピンクパイナップル,1冊
Oxford University Press,2冊
ヒーローズ,25冊
ジーオーティー,15冊
スクウェア・エニックス,71冊
富士美出版株式会社,13冊
電書バト,2冊
"フクモトプロ／highstone, Inc.",20冊
健康マネジメント,1冊
幻冬舎コミックス,25冊
キリブックス,5冊
KADOKAWA / 角川書店,3冊
マガジン・マガジン,5冊
小学館クリエイティブ,1冊
ジーウォーク,10冊
KADOKAWA / 富士見書房,3冊
CCCメディアハウス,1冊
茜新社,9冊
サン出版,7冊
キルタイムコミュニケーション,3冊
秋水社ORIGINAL,1冊
大洋図書,2冊
MAX／大洋図書,4冊
