プレジデント社,1冊
らいとすたっふ,1冊
クリエイティブエンタテインメント,1冊
文苑堂,2冊
まみあな出版,1冊
アイロゴス,1冊
コアマガジン/ホットミルクコミックス,4冊
実業之日本社,10冊
三才ブックス,2冊
朝日新聞出版,7冊
マイクロマガジン社,2冊
MAX/大洋図書,1冊
スクウェア・エニックス,71冊
SCC,1冊
ピンクパイナップル,1冊
海王社,4冊
新潮社,80冊
たかだ書房,1冊
ぶんか社,7冊
楽楽出版,5冊
小学館クリエイティブ,1冊
キルタイムコミュニケーション,3冊
CCCメディアハウス,1冊
健康マネジメント,1冊
ワニブックス,5冊
佐藤漫画製作所,17冊
日経BP,4冊
青林堂,1冊
ワニマガジン社,151冊
技術評論社,2冊
アース・スター エンターテイメント,5冊
幻冬舎,5冊
KADOKAWA,356冊
"フクモトプロ／highstone, Inc.",20冊
ソルマーレ編集部,5冊
光文社,1冊
東洋経済新報社,2冊
パンローリング株式会社,1冊
ナンネット,3冊
すばる舎,2冊
,9冊
芳文社,91冊
PHP研究所,1冊
KADOKAWA / エンターブレイン,1冊
ビーグリー,1冊
三和出版,16冊
日経BP社,3冊
日本文芸社,87冊
DeNA,2冊
日経ナショナル ジオグラフィック社,1冊
ジーオーティー,15冊
NHK出版,1冊
マガジン・マガジン,5冊
グループ・ゼロ,7冊
BCCKS Distribution,1冊
激ちゅぱっ,1冊
東村ジャパン,5冊
Kongc Test Pub,1冊
コアマガジン/メガストアコミックス,52冊
電書バト,2冊
サークルチェンジ,3冊
双葉社,212冊
学研プラス,12冊
フランス書院,1冊
コアミックス,11冊
イースト・プレス,6冊
HIMEクリピンク,4冊
ゴマブックス株式会社,7冊
秋田書店,395冊
ブリック出版,1冊
株式会社オトコノアジト,1冊
KADOKAWA / アスキー・メディアワークス,2冊
文響社,1冊
小学館,489冊
クリーク・アンド・リバー社,2冊
-------,12冊
VIZ Media: SHONEN JUMP,1冊
KADOKAWA / 角川書店,3冊
MTEX,1冊
KATTS,3冊
講談社,1024冊
大洋図書,2冊
インプレス,2冊
株式会社メディアソフト,1冊
松文館,6冊
小池書院,1冊
オークス,1冊
若生出版,16冊
一迅社,15冊
forcs,1冊
ISSUISHA,2冊
ユナイテッド・ブックス,1冊
白泉社,116冊
少年画報社,36冊
鉄人社,8冊
コミックハウス,8冊
株式会社ディケイド,3冊
秋水社ORIGINAL,1冊
扶桑社,4冊
TOブックス,13冊
茜新社,9冊
